age,work
52,artisant
51,retraite
29,agriculteur
76,ouvrier
80,enseignant
40,agriculteur
52,retraite
21,employe_prive
48,artisant
35,agriculteur
56,artisant
79,retraite
51,ouvrier_agricole
27,sans_activite
14,employe_prive
18,agriculteur
64,enseignant
28,ouvrier
9,commercant
77,retraite
29,enseignant
96,ouvrier_batiment
80,militaire
84,ouvrier
40,retraite
26,ouvrier
33,conducteur
28,retraite
13,sans_activite
53,sans_activite
56,conducteur
21,retraite
21,ouvrier
77,sans_activite
17,militaire
53,artisant
19,ouvrier_batiment
60,sans_activite
79,ouvrier_batiment
61,militaire
44,ouvrier_agricole
79,enseignant
23,militaire
44,militaire
69,employe_prive
84,ouvrier_agricole
92,artisant
26,retraite
98,retraite
0,commercant
57,agriculteur
2,retraite
19,ecolier
87,ecolier
79,employe_prive
15,ouvrier_batiment
27,enseignant
80,ecolier
99,commercant
69,militaire
5,ecolier
75,militaire
30,conducteur
52,enseignant
12,employe_prive
41,enseignant
21,conducteur
88,ouvrier
25,ouvrier_batiment
29,commercant
42,militaire
22,sans_activite
28,militaire
23,agriculteur
16,ecolier
82,enseignant
83,enseignant
75,enseignant
3,retraite
21,artisant
20,ecolier
91,ouvrier_batiment
77,artisant
28,militaire
4,commercant
24,ouvrier_batiment
68,ouvrier_batiment
27,militaire
11,agriculteur
78,artisant
12,ouvrier_batiment
19,sans_activite
45,ecolier
76,ouvrier_batiment
95,agriculteur
50,militaire
41,ouvrier_batiment
59,ouvrier
23,agriculteur
9,enseignant
51,agriculteur
92,enseignant
65,retraite
86,conducteur
56,agriculteur
16,conducteur
61,employe_prive
27,ecolier
76,employe_prive
88,sans_activite
7,enseignant
20,ecolier
28,agriculteur
53,ouvrier
2,militaire
18,employe_prive
17,ouvrier_batiment
0,militaire
22,enseignant
4,agriculteur
64,employe_prive
33,artisant
23,sans_activite
40,artisant
39,ouvrier
53,agriculteur
60,commercant
20,agriculteur
32,retraite
78,employe_prive
27,ouvrier_agricole
54,commercant
35,militaire
22,conducteur
6,employe_prive
21,ouvrier
30,conducteur
28,sans_activite
45,employe_prive
77,commercant
17,ouvrier
52,artisant
19,ouvrier_batiment
42,retraite
50,ouvrier_batiment
56,retraite
54,conducteur
93,employe_prive
60,sans_activite
83,retraite
27,artisant
74,ouvrier_batiment
10,sans_activite
40,ecolier
63,commercant
19,enseignant
55,sans_activite
34,enseignant
53,ecolier
53,ouvrier
22,conducteur
80,enseignant
5,agriculteur
73,employe_prive
50,retraite
28,ouvrier_agricole
29,ecolier
18,sans_activite
3,conducteur
11,artisant
63,militaire
78,commercant
23,employe_prive
37,enseignant
54,sans_activite
76,sans_activite
8,militaire
98,conducteur
54,ouvrier
48,ouvrier
96,employe_prive
14,ouvrier_agricole
1,militaire
21,ouvrier_agricole
37,ouvrier
76,agriculteur
49,ouvrier_batiment
84,agriculteur
28,sans_activite
9,agriculteur
16,conducteur
75,retraite
2,ecolier
68,ouvrier_batiment
77,retraite
76,sans_activite
12,retraite
19,ouvrier_batiment
35,ouvrier_batiment
27,conducteur
21,agriculteur
70,agriculteur
19,ouvrier
26,ouvrier_batiment
45,agriculteur
24,militaire
25,ouvrier_agricole
43,enseignant
81,sans_activite
7,artisant
10,ecolier
59,ouvrier_batiment
57,conducteur
21,sans_activite
4,conducteur
75,agriculteur
25,retraite
19,agriculteur
58,militaire
57,ecolier
21,agriculteur
7,commercant
1,retraite
76,artisant
78,sans_activite
48,sans_activite
4,ouvrier_batiment
69,agriculteur
22,artisant
92,militaire
16,artisant
72,enseignant
19,militaire
20,employe_prive
46,conducteur
49,ouvrier_batiment
74,conducteur
77,sans_activite
78,retraite
25,ouvrier
98,militaire
9,militaire
76,agriculteur
7,ecolier
92,artisant
18,militaire
22,militaire
88,sans_activite
79,conducteur
22,ouvrier_batiment
55,retraite
52,retraite
72,agriculteur
64,ecolier
30,sans_activite
94,retraite
9,sans_activite
1,artisant
25,artisant
71,sans_activite
51,enseignant
25,ecolier
75,commercant
25,commercant
36,ouvrier
5,ecolier
48,agriculteur
76,enseignant
59,ecolier
3,agriculteur
89,ecolier
31,agriculteur
25,ouvrier_batiment
53,ecolier
54,conducteur
58,commercant
70,commercant
29,enseignant
21,commercant
29,ouvrier_batiment
70,ouvrier_agricole
59,ouvrier
30,sans_activite
51,agriculteur
37,artisant
79,employe_prive
20,enseignant
9,ouvrier
51,agriculteur
20,militaire
44,conducteur
43,artisant
17,sans_activite
90,commercant
2,sans_activite
50,retraite
9,agriculteur
39,retraite
30,retraite
79,militaire
51,sans_activite
9,militaire
18,employe_prive
98,employe_prive
68,retraite
16,ouvrier_batiment
30,conducteur
76,ouvrier_agricole
78,enseignant
40,ouvrier_agricole
28,conducteur
20,conducteur
0,enseignant
20,militaire
6,commercant
55,commercant
42,ouvrier_agricole
59,artisant
30,commercant
29,ouvrier_agricole
25,ouvrier
17,ouvrier_agricole
24,militaire
23,enseignant
34,artisant
54,militaire
51,retraite
36,ecolier
74,ouvrier_batiment
89,conducteur
41,ouvrier_agricole
26,artisant
75,retraite
25,sans_activite
28,retraite
96,ouvrier_agricole
20,commercant
24,agriculteur
67,commercant
25,agriculteur
67,commercant
32,ouvrier_agricole
27,commercant
26,ouvrier_agricole
53,ouvrier
25,ouvrier
22,commercant
25,ouvrier_agricole
22,ouvrier_agricole
7,agriculteur
85,ouvrier_batiment
21,militaire
17,ouvrier_batiment
80,militaire
34,sans_activite
38,militaire
70,retraite
58,militaire
90,ecolier
80,ecolier
6,employe_prive
20,ouvrier
26,commercant
8,sans_activite
20,agriculteur
79,commercant
44,employe_prive
33,enseignant
95,ouvrier
98,retraite
17,militaire
34,ouvrier_batiment
55,employe_prive
29,enseignant
67,agriculteur
16,ouvrier
64,ecolier
27,sans_activite
76,sans_activite
96,ouvrier_agricole
79,retraite
23,enseignant
28,retraite
52,commercant
79,ouvrier_agricole
28,ouvrier_agricole
27,militaire
8,agriculteur
76,retraite
80,ouvrier_agricole
79,enseignant
52,commercant
72,employe_prive
51,ouvrier_agricole
61,agriculteur
16,ouvrier
48,retraite
29,ouvrier_batiment
57,commercant
38,militaire
73,commercant
94,ouvrier
80,agriculteur
76,militaire
92,artisant
77,ouvrier_agricole
70,employe_prive
77,conducteur
16,ecolier
53,ouvrier
62,agriculteur
28,militaire
55,ecolier
30,ouvrier_agricole
51,commercant
92,retraite
61,ecolier
91,militaire
47,employe_prive
79,artisant
64,sans_activite
46,enseignant
77,artisant
79,ouvrier_batiment
93,ouvrier
1,ouvrier_batiment
51,ouvrier_batiment
13,militaire
71,commercant
20,employe_prive
47,ecolier
64,agriculteur
59,militaire
83,militaire
54,conducteur
46,artisant
22,enseignant
76,conducteur
29,ouvrier_batiment
43,commercant
22,retraite
78,ouvrier_batiment
30,sans_activite
30,ouvrier_batiment
6,agriculteur
16,ouvrier_batiment
59,ouvrier
1,commercant
11,ouvrier_batiment
65,sans_activite
25,ouvrier_agricole
17,ouvrier
21,ouvrier_batiment
67,enseignant
4,agriculteur
28,sans_activite
36,enseignant
68,conducteur
88,ouvrier_batiment
16,sans_activite
28,employe_prive
20,ecolier
26,conducteur
20,ouvrier_batiment
21,ouvrier
13,conducteur
7,retraite
29,sans_activite
66,retraite
23,ouvrier_batiment
91,ouvrier_batiment
70,ouvrier_batiment
46,artisant
26,agriculteur
4,enseignant
87,ouvrier
78,retraite
19,employe_prive
29,sans_activite
53,commercant
66,enseignant
21,commercant
68,ouvrier
40,commercant
36,ecolier
77,artisant
97,ouvrier
88,agriculteur
54,ouvrier_batiment
20,agriculteur
2,agriculteur
9,enseignant
53,agriculteur
81,employe_prive
3,ouvrier
22,commercant
2,employe_prive
25,sans_activite
76,enseignant
16,conducteur
17,commercant
28,ouvrier_agricole
70,artisant
21,artisant
30,commercant
65,artisant
11,ouvrier_agricole
49,agriculteur
79,ouvrier
20,employe_prive
84,employe_prive
80,militaire
21,retraite
21,ecolier
84,enseignant
52,enseignant
14,enseignant
0,agriculteur
24,ouvrier
27,artisant
79,ouvrier_agricole
6,conducteur
80,agriculteur
98,sans_activite
37,militaire
58,militaire
49,enseignant
74,commercant
24,sans_activite
62,artisant
67,ouvrier_batiment
52,commercant
8,ouvrier
29,artisant
18,militaire
46,ouvrier_agricole
85,commercant
78,commercant
20,agriculteur
62,employe_prive
6,ecolier
30,enseignant
18,sans_activite
46,agriculteur
79,militaire
29,conducteur
39,conducteur
79,militaire
23,ouvrier_batiment
80,ouvrier_agricole
28,enseignant
29,artisant
25,agriculteur
59,ecolier
27,enseignant
24,conducteur
44,agriculteur
6,ouvrier
19,ouvrier
33,sans_activite
14,retraite
1,ecolier
10,ouvrier_batiment
29,retraite
53,ouvrier
15,ouvrier_agricole
44,conducteur
29,sans_activite
42,ouvrier_agricole
16,commercant
88,ecolier
26,ouvrier_agricole
33,artisant
89,ecolier
13,militaire
56,ecolier
68,conducteur
23,sans_activite
76,conducteur
100,employe_prive
16,retraite
68,militaire
74,sans_activite
93,retraite
60,artisant
83,ouvrier_batiment
38,militaire
30,commercant
21,conducteur
5,conducteur
29,ouvrier_agricole
6,sans_activite
71,ouvrier
67,ouvrier
67,employe_prive
88,ecolier
31,employe_prive
21,artisant
17,ouvrier_batiment
49,artisant
79,commercant
35,militaire
76,enseignant
71,artisant
7,ouvrier_agricole
18,militaire
30,ecolier
2,ouvrier
16,employe_prive
98,sans_activite
27,ecolier
57,retraite
28,ouvrier_agricole
77,ouvrier
16,agriculteur
25,sans_activite
75,ecolier
80,conducteur
30,artisant
88,conducteur
51,ouvrier_agricole
45,ouvrier
23,commercant
57,artisant
17,commercant
9,militaire
79,employe_prive
100,artisant
67,retraite
21,ouvrier_agricole
77,ouvrier_agricole
57,ecolier
78,ecolier
22,ouvrier_agricole
55,artisant
70,artisant
20,ouvrier_batiment
60,ouvrier_batiment
95,ouvrier_batiment
52,ouvrier
60,ecolier
76,ouvrier_agricole
100,ecolier
88,ouvrier_batiment
11,sans_activite
96,commercant
2,enseignant
39,artisant
26,conducteur
11,artisant
85,enseignant
62,enseignant
7,ouvrier_agricole
92,ouvrier
19,ouvrier_agricole
89,sans_activite
63,ouvrier
13,ecolier
78,enseignant
55,enseignant
22,ecolier
44,enseignant
88,enseignant
93,conducteur
30,ecolier
81,commercant
14,enseignant
83,ouvrier_batiment
28,ecolier
26,ouvrier_agricole
6,ecolier
77,commercant
28,artisant
70,agriculteur
77,ouvrier_batiment
54,retraite
17,agriculteur
54,ouvrier_agricole
60,employe_prive
90,militaire
80,commercant
70,sans_activite
30,agriculteur
28,employe_prive
4,enseignant
20,ouvrier_agricole
80,ouvrier
55,sans_activite
69,agriculteur
49,militaire
23,agriculteur
21,employe_prive
80,retraite
24,conducteur
76,artisant
21,militaire
8,ouvrier_batiment
29,employe_prive
59,militaire
57,sans_activite
13,ouvrier_agricole
91,militaire
60,artisant
55,ecolier
47,artisant
56,ouvrier_batiment
42,sans_activite
68,ouvrier_agricole
19,ouvrier_batiment
38,militaire
32,ouvrier
66,ouvrier_batiment
21,commercant
9,retraite
59,agriculteur
25,militaire
91,commercant
18,militaire
19,sans_activite
20,retraite
55,commercant
100,conducteur
50,agriculteur
44,ouvrier
17,ouvrier_batiment
13,ecolier
25,retraite
85,conducteur
78,retraite
66,enseignant
5,agriculteur
18,ouvrier_batiment
17,ouvrier_batiment
57,commercant
47,ouvrier_agricole
98,ouvrier_agricole
28,conducteur
37,ouvrier_batiment
80,commercant
98,agriculteur
52,artisant
27,militaire
92,ouvrier_batiment
79,artisant
53,militaire
38,ouvrier_batiment
66,militaire
57,agriculteur
10,commercant
94,sans_activite
77,ouvrier_agricole
29,retraite
17,conducteur
61,ouvrier
14,enseignant
92,agriculteur
11,agriculteur
80,sans_activite
71,militaire
29,ecolier
30,ouvrier
80,agriculteur
21,artisant
5,agriculteur
37,militaire
37,sans_activite
12,conducteur
82,ouvrier
71,ouvrier_agricole
16,ouvrier_batiment
67,employe_prive
84,commercant
16,ecolier
72,commercant
15,conducteur
67,agriculteur
16,sans_activite
27,employe_prive
64,conducteur
83,retraite
45,sans_activite
77,commercant
31,agriculteur
76,ouvrier_agricole
21,employe_prive
71,retraite
28,retraite
34,ouvrier_agricole
52,enseignant
6,ouvrier_batiment
24,retraite
30,ecolier
51,ouvrier_agricole
59,ouvrier
23,agriculteur
84,ouvrier_agricole
42,militaire
64,commercant
21,ouvrier_batiment
37,employe_prive
13,ouvrier
18,ouvrier_agricole
72,enseignant
78,ouvrier_batiment
70,artisant
3,ouvrier
53,agriculteur
13,employe_prive
51,ouvrier_batiment
17,ecolier
26,enseignant
78,ecolier
45,artisant
27,retraite
13,ouvrier_batiment
30,sans_activite
76,agriculteur
81,ecolier
53,ouvrier_agricole
0,enseignant
80,retraite
99,enseignant
70,enseignant
9,ouvrier
9,ecolier
17,conducteur
29,ouvrier_batiment
20,conducteur
41,retraite
58,agriculteur
82,sans_activite
10,artisant
29,employe_prive
15,employe_prive
23,artisant
29,militaire
47,enseignant
10,sans_activite
42,employe_prive
76,ouvrier_batiment
79,enseignant
52,agriculteur
21,ouvrier_batiment
65,conducteur
30,retraite
22,enseignant
24,commercant
20,ouvrier
89,ouvrier
62,ecolier
28,ouvrier_batiment
54,artisant
60,ecolier
97,ecolier
99,artisant
78,artisant
16,sans_activite
29,sans_activite
52,retraite
40,conducteur
55,militaire
51,artisant
30,commercant
8,conducteur
22,militaire
25,commercant
77,agriculteur
44,agriculteur
29,enseignant
40,ouvrier_batiment
35,conducteur
19,militaire
22,conducteur
25,employe_prive
32,artisant
64,enseignant
27,ouvrier
65,employe_prive
34,enseignant
48,artisant
29,artisant
76,enseignant
89,retraite
45,retraite
18,artisant
18,artisant
79,artisant
25,agriculteur
18,militaire
81,agriculteur
56,ouvrier
78,conducteur
26,ouvrier_agricole
46,conducteur
48,retraite
82,militaire
100,ouvrier
83,enseignant
75,ecolier
81,employe_prive
81,enseignant
5,conducteur
27,retraite
2,sans_activite
16,conducteur
78,artisant
76,enseignant
69,artisant
94,conducteur
1,conducteur
2,retraite
20,ecolier
16,militaire
74,commercant
27,agriculteur
97,ouvrier_agricole
8,artisant
88,agriculteur
2,conducteur
23,ouvrier_agricole
17,artisant
100,sans_activite
80,militaire
19,enseignant
30,retraite
26,employe_prive
45,ecolier
23,ouvrier_agricole
16,sans_activite
24,conducteur
68,sans_activite
77,ouvrier_agricole
72,commercant
84,artisant
15,commercant
25,artisant
48,ouvrier
69,commercant
17,employe_prive
18,agriculteur
77,ouvrier_agricole
96,employe_prive
76,ecolier
22,retraite
78,ouvrier
26,employe_prive
32,ouvrier
27,retraite
77,commercant
47,militaire
77,commercant
20,ouvrier_agricole
41,militaire
20,ouvrier_agricole
80,conducteur
43,ouvrier
24,ecolier
26,commercant
74,artisant
17,conducteur
51,agriculteur
15,employe_prive
50,retraite
54,commercant
14,retraite
69,agriculteur
4,commercant
1,ouvrier_agricole
17,militaire
78,conducteur
98,artisant
20,ouvrier_agricole
79,employe_prive
58,ouvrier_agricole
29,ecolier
20,ouvrier_batiment
28,militaire
75,retraite
66,agriculteur
21,enseignant
19,ouvrier_batiment
20,ouvrier_batiment
22,agriculteur
44,ouvrier_agricole
61,ouvrier
56,employe_prive
53,ouvrier
78,commercant
40,artisant
60,employe_prive
46,retraite
99,retraite
21,artisant
24,conducteur
53,militaire
7,agriculteur
54,agriculteur
60,militaire
70,militaire
2,sans_activite
87,retraite
54,commercant
17,agriculteur
26,militaire
42,militaire
99,ouvrier_batiment
95,employe_prive
29,militaire
2,retraite
100,employe_prive
23,ecolier
6,enseignant
20,ouvrier
98,retraite
53,conducteur
30,enseignant
59,sans_activite
31,commercant
99,ouvrier
24,employe_prive
11,commercant
83,ecolier
24,ouvrier_batiment
42,ouvrier
9,commercant
45,commercant
76,commercant
24,commercant
17,conducteur
77,ecolier
18,militaire
4,conducteur
42,militaire
91,ouvrier_agricole
29,conducteur
57,artisant
41,employe_prive
38,retraite
87,enseignant
68,artisant
15,enseignant
70,commercant
29,sans_activite
85,enseignant
26,conducteur
17,employe_prive
97,ouvrier_agricole
57,conducteur
64,ecolier
54,conducteur
44,ouvrier_agricole
77,enseignant
7,militaire
20,conducteur
26,sans_activite
73,ouvrier
25,commercant
98,agriculteur
62,ouvrier
76,militaire
91,militaire
17,employe_prive
72,artisant
76,commercant
27,artisant
22,sans_activite
29,agriculteur
12,ouvrier_agricole
77,commercant
16,ecolier
20,militaire
64,employe_prive
42,commercant
52,employe_prive
77,ouvrier
59,ouvrier_batiment
66,artisant
18,conducteur
11,militaire
79,commercant
9,enseignant
51,ecolier
89,employe_prive
23,retraite
52,agriculteur
25,conducteur
2,commercant
19,retraite
5,ecolier
92,sans_activite
78,ouvrier_batiment
15,enseignant
94,ouvrier_agricole
17,conducteur
16,militaire
78,agriculteur
23,conducteur
28,commercant
94,agriculteur
48,ouvrier
72,agriculteur
5,enseignant
0,ouvrier
22,conducteur
1,agriculteur
82,retraite
26,conducteur
60,ecolier
41,sans_activite
21,artisant
92,agriculteur
19,ouvrier
9,agriculteur
4,retraite
56,artisant
80,conducteur
12,conducteur
27,commercant
24,conducteur
19,ecolier
80,militaire
80,retraite
13,employe_prive
17,commercant
66,conducteur
76,ouvrier
84,ouvrier_batiment
57,ouvrier_batiment
24,ouvrier_agricole
71,artisant
52,ouvrier
19,enseignant
93,artisant
66,ouvrier_batiment
26,ecolier
30,retraite
21,agriculteur
66,ouvrier_batiment
81,enseignant
29,enseignant
29,ouvrier_batiment
73,ouvrier_agricole
83,sans_activite
3,conducteur
16,conducteur
6,enseignant
90,ouvrier_batiment
21,militaire
32,ouvrier
34,conducteur
28,employe_prive
16,enseignant
33,enseignant
79,ouvrier
76,retraite
11,enseignant
28,ouvrier
74,enseignant
41,conducteur
62,conducteur
60,ouvrier_batiment
63,enseignant
33,agriculteur
21,commercant
24,employe_prive
26,commercant
2,sans_activite
17,enseignant
77,ouvrier
15,ecolier
62,ouvrier
77,militaire
72,ouvrier
47,employe_prive
22,ouvrier_agricole
79,employe_prive
76,enseignant
80,retraite
29,ouvrier
36,ecolier
98,commercant
57,ouvrier_batiment
62,sans_activite
26,enseignant
97,conducteur
79,agriculteur
3,ouvrier_batiment
27,conducteur
30,ouvrier_batiment
100,commercant
63,ouvrier_agricole
18,employe_prive
90,ouvrier_agricole
12,ouvrier_agricole
57,agriculteur
29,artisant
73,artisant
75,ouvrier
79,retraite
42,ouvrier_agricole
60,ecolier
53,ecolier
20,militaire
79,ouvrier_agricole
70,ouvrier_batiment
5,conducteur
29,militaire
95,retraite
54,retraite
29,agriculteur
77,employe_prive
97,ecolier
5,conducteur
58,militaire
78,artisant
73,ouvrier
24,artisant
80,conducteur
13,conducteur
23,ecolier
20,artisant
21,sans_activite
17,conducteur
69,commercant
30,ecolier
45,militaire
37,sans_activite
32,ecolier
28,militaire
52,ouvrier
64,ouvrier_agricole
74,sans_activite
10,militaire
100,ecolier
78,ouvrier_agricole
90,artisant
23,agriculteur
47,commercant
16,ouvrier_agricole
28,agriculteur
71,ecolier
51,ouvrier
28,enseignant
26,artisant
19,ouvrier_agricole
72,commercant
64,agriculteur
100,militaire
64,commercant
54,ouvrier_agricole
6,ecolier
59,sans_activite
11,ouvrier_agricole
18,employe_prive
22,artisant
27,ecolier
71,enseignant
16,retraite
21,employe_prive
28,retraite
10,artisant
35,conducteur
22,agriculteur
59,retraite
23,commercant
23,employe_prive
76,ouvrier_batiment
78,ouvrier
78,sans_activite
60,ouvrier_batiment
17,conducteur
17,agriculteur
77,ecolier
26,conducteur
42,ouvrier_agricole
80,ouvrier
28,retraite
15,militaire
73,enseignant
0,ecolier
59,artisant
5,enseignant
27,employe_prive
22,retraite
82,ouvrier_agricole
21,sans_activite
52,retraite
29,militaire
2,conducteur
92,ouvrier_agricole
58,enseignant
6,ecolier
19,retraite
51,retraite
18,ouvrier_agricole
55,agriculteur
52,enseignant
22,ouvrier_batiment
59,sans_activite
76,commercant
18,ouvrier
7,artisant
16,ecolier
70,ouvrier_batiment
4,employe_prive
17,conducteur
34,enseignant
54,militaire
27,ouvrier
67,ouvrier_batiment
87,conducteur
77,ouvrier
19,sans_activite
88,militaire
61,agriculteur
92,conducteur
77,commercant
26,sans_activite
28,retraite
18,conducteur
68,militaire
30,militaire
34,enseignant
24,ouvrier_agricole
92,agriculteur
23,conducteur
79,militaire
70,sans_activite
19,retraite
65,ouvrier_batiment
77,employe_prive
39,artisant
6,commercant
56,agriculteur
52,sans_activite
70,ecolier
25,agriculteur
59,ouvrier_agricole
34,artisant
7,ouvrier_agricole
40,conducteur
62,ouvrier_batiment
11,militaire
27,enseignant
25,ouvrier_agricole
46,ouvrier_batiment
22,ouvrier_agricole
80,ouvrier
21,ouvrier_agricole
56,enseignant
68,ouvrier_batiment
29,ecolier
86,sans_activite
63,ecolier
22,agriculteur
20,artisant
25,enseignant
74,ouvrier
95,retraite
76,retraite
36,sans_activite
80,ouvrier_batiment
20,ecolier
30,agriculteur
29,ouvrier_agricole
26,militaire
25,militaire
100,militaire
23,ouvrier_batiment
34,ecolier
35,commercant
74,ouvrier_batiment
6,ouvrier_agricole
71,employe_prive
71,artisant
80,ouvrier
50,ouvrier
20,sans_activite
25,conducteur
20,employe_prive
23,ecolier
23,ouvrier
78,sans_activite
95,artisant
18,militaire
17,ouvrier_agricole
48,employe_prive
29,ouvrier_batiment
34,ouvrier_batiment
21,ecolier
74,employe_prive
74,enseignant
2,commercant
17,sans_activite
62,ecolier
27,artisant
20,ouvrier_batiment
78,ouvrier
23,ouvrier_agricole
62,retraite
77,employe_prive
24,conducteur
5,sans_activite
86,ouvrier_batiment
29,artisant
28,militaire
39,ouvrier_agricole
62,sans_activite
29,sans_activite
30,employe_prive
21,agriculteur
74,ouvrier_agricole
76,militaire
43,employe_prive
96,ouvrier
27,sans_activite
34,militaire
71,artisant
67,militaire
88,enseignant
56,conducteur
78,ecolier
16,ouvrier
16,conducteur
76,employe_prive
54,conducteur
73,enseignant
94,ouvrier
29,retraite
19,commercant
22,enseignant
29,ecolier
43,sans_activite
29,conducteur
12,enseignant
30,sans_activite
77,sans_activite
25,militaire
16,ouvrier_batiment
78,ouvrier
17,retraite
78,artisant
16,sans_activite
84,retraite
1,ouvrier_batiment
21,agriculteur
54,commercant
53,conducteur
66,artisant
91,enseignant
26,sans_activite
77,employe_prive
29,artisant
3,commercant
84,employe_prive
76,commercant
57,commercant
79,artisant
26,retraite
50,agriculteur
66,employe_prive
65,ouvrier_agricole
79,retraite
50,ouvrier
0,conducteur
26,employe_prive
8,agriculteur
40,militaire
54,commercant
92,ecolier
21,sans_activite
30,agriculteur
7,ouvrier_agricole
23,retraite
72,commercant
20,agriculteur
26,agriculteur
57,retraite
26,artisant
18,conducteur
92,ouvrier_agricole
9,sans_activite
30,artisant
43,ouvrier_batiment
