Number Of Cars,1,Household Type,type2,HouseholdSize,2,71
Number Of Cars,2,Household Type,type2,HouseholdSize,2,91
Number Of Cars,3,Household Type,type2,HouseholdSize,2,188
Number Of Cars,0,Household Type,type3,HouseholdSize,2,67
Number Of Cars,1,Household Type,type3,HouseholdSize,2,90
Number Of Cars,2,Household Type,type3,HouseholdSize,2,102
Number Of Cars,3,Household Type,type3,HouseholdSize,2,94
Number Of Cars,0,Household Type,type1,HouseholdSize,3,119
Number Of Cars,1,Household Type,type1,HouseholdSize,3,71
Number Of Cars,2,Household Type,type1,HouseholdSize,3,114
Number Of Cars,3,Household Type,type1,HouseholdSize,3,75
Number Of Cars,0,Household Type,type2,HouseholdSize,3,109
Number Of Cars,1,Household Type,type2,HouseholdSize,3,115
Number Of Cars,2,Household Type,type2,HouseholdSize,3,184
Number Of Cars,3,Household Type,type2,HouseholdSize,3,88
Number Of Cars,0,Household Type,type3,HouseholdSize,3,130
Number Of Cars,1,Household Type,type3,HouseholdSize,3,21
Number Of Cars,2,Household Type,type3,HouseholdSize,3,108
Number Of Cars,3,Household Type,type3,HouseholdSize,3,136
